student_id,gender,ssc_percentage,hsc_percentage,degree_percentage,cgpa,entrance_exam_score,technical_skill_score,soft_skill_score,internship_count,live_projects,work_experience_months,certifications,attendance_percentage,backlogs,extracurricular_activities,placement_status,salary_package_lpa
1,Female,68,93,84,9.15,52,55,59,3,0,9,2,95,4,Yes,0,0.0
2,Female,93,58,51,5.53,65,95,70,1,3,8,3,64,4,Yes,0,0.0
3,Male,61,76,71,6.81,66,53,70,5,1,11,4,73,4,Yes,0,0.0
4,Male,56,89,80,8.34,73,63,58,4,0,17,2,78,3,No,0,0.0
5,Female,75,69,74,9.69,43,66,78,4,0,11,0,95,0,Yes,1,6.47
6,Female,55,85,86,8.37,58,84,89,3,0,4,3,97,4,No,0,0.0
7,Female,73,86,66,5.81,57,65,63,3,5,6,2,81,0,Yes,0,0.0
8,Female,85,77,68,7.49,77,92,83,2,0,23,4,77,0,No,1,6.6
9,Male,92,53,80,6.58,52,96,51,3,3,16,0,71,1,No,1,12.79
10,Male,63,91,84,8.69,60,84,81,2,1,10,3,66,1,Yes,1,3.0
11,Male,72,53,83,8.95,88,91,42,1,5,5,4,60,2,Yes,1,4.56
12,Female,76,71,68,7.97,88,83,67,4,1,19,3,78,5,Yes,0,0.0
13,Female,66,60,80,6.33,98,90,82,0,2,10,0,95,0,Yes,0,0.0
14,Male,88,66,82,6.55,57,82,83,4,4,6,0,74,3,No,1,14.76
15,Female,63,64,64,6.73,60,92,44,2,5,6,4,71,2,No,1,7.71
16,Male,64,90,77,8.79,62,97,48,2,3,14,1,71,4,Yes,0,0.0
17,Female,51,68,53,9.0,40,71,40,5,0,1,3,85,5,No,0,0.0
18,Female,90,77,68,8.63,60,97,93,0,5,24,2,79,1,No,1,9.79
19,Male,60,68,57,8.51,62,72,97,3,1,15,3,82,2,Yes,1,13.26
20,Female,61,51,85,7.31,40,57,57,2,2,23,2,77,1,Yes,0,0.0
21,Male,80,68,58,6.33,87,78,55,2,1,3,1,74,3,No,0,0.0
22,Male,80,79,50,8.8,68,88,85,3,0,2,1,99,2,Yes,1,6.84
23,Female,70,80,70,8.75,91,78,46,0,3,4,1,77,1,Yes,0,0.0
24,Female,88,82,63,6.12,84,48,69,5,4,4,2,70,3,Yes,0,0.0
25,Male,70,83,63,8.77,44,89,41,5,2,12,3,97,5,No,0,0.0
26,Male,82,82,70,7.3,63,87,49,4,4,23,5,79,3,Yes,0,0.0
27,Female,57,80,50,9.69,50,78,89,3,0,1,0,73,4,Yes,0,0.0
28,Male,71,54,62,6.62,58,47,96,1,0,2,4,78,2,Yes,1,3.1
29,Female,54,50,76,6.79,85,59,97,3,1,7,0,66,1,No,1,10.69
30,Male,91,74,87,7.45,77,83,83,5,5,12,4,94,2,No,1,5.29
31,Male,63,90,64,7.96,71,86,71,2,1,1,2,69,0,Yes,1,7.19
32,Female,95,68,67,8.0,56,96,48,0,0,13,0,92,1,No,0,0.0
33,Female,59,54,80,9.06,55,50,64,5,5,24,2,95,4,Yes,0,0.0
34,Male,60,53,70,8.06,54,99,70,3,0,0,5,85,1,Yes,1,10.32
35,Female,93,51,54,9.49,97,85,73,2,0,19,1,86,1,No,1,7.68
36,Male,86,55,69,7.64,79,51,47,4,2,6,1,67,3,No,0,0.0
37,Male,86,58,55,8.47,61,63,77,5,5,14,4,93,4,No,0,0.0
38,Female,72,55,60,7.23,94,72,81,3,0,9,4,64,1,Yes,1,9.39
39,Female,79,54,50,9.19,96,58,95,5,5,11,1,62,3,No,0,0.0
40,Female,70,62,61,8.08,62,47,77,0,5,14,0,98,1,Yes,0,0.0
41,Male,72,75,50,6.64,48,42,89,5,2,12,5,67,3,Yes,0,0.0
42,Male,53,57,80,5.6,60,76,66,1,4,16,1,77,0,No,0,0.0
43,Male,93,81,94,6.39,75,75,40,2,2,13,1,91,2,No,0,0.0
44,Male,88,92,95,8.89,51,51,93,0,4,3,1,64,5,Yes,0,0.0
45,Female,69,64,78,7.57,75,78,97,0,2,7,3,92,2,No,1,9.43
46,Female,76,72,65,8.14,94,66,75,5,2,6,4,71,4,No,0,0.0
47,Male,52,67,57,7.54,46,57,78,2,2,20,5,82,5,No,0,0.0
48,Female,75,53,72,6.94,69,80,53,1,2,20,4,99,4,Yes,0,0.0
49,Male,86,75,70,6.53,87,68,92,2,0,15,1,60,3,No,1,6.73
